ano,mês,energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2024,1,2983911.75 - 6866211.91,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,38.21 - 83.89,29385.43 - 46318.89,3.87 - 12.51
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2024,1,6866211.91 - 12252934.51,40878.28 - 47539.03,407.69 - 466.10,7947.00 - 11173.19,83.89 - 148.16,66111.12 - 91019.96,12.51 - 28.31
2024,1,139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
2024,1,2983911.75 - 6866211.91,22924.60 - 32321.75,517.50 - 575.57,5235.35 - 7947.00,218.69 - 308.75,46318.89 - 66111.12,3.87 - 12.51
2024,1,139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,12.51 - 28.31
2024,1,139066.00 - 2983911.75,1042.00 - 3196.96,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,3.87 - 12.51
2024,1,139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,174.00 - 1556.31,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
2024,1,2983911.75 - 6866211.91,14844.51 - 22924.60,238.40 - 299.03,3135.72 - 5235.35,38.21 - 83.89,29385.43 - 46318.89,3.87 - 12.51
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,139066.00 - 2983911.75,5377.91 - 8752.42,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
2024,1,12252934.51 - 18464831.15,91443.45 - 101614.67,517.50 - 575.57,17978.37 - 26901.08,553.33 - 622.77,145961.06 - 175740.15,68.50 - 91.26
2024,1,139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,3.87 - 12.51
2024,1,139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,3135.72 - 5235.35,38.21 - 83.89,16488.92 - 29385.43,3.87 - 12.51
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,147.04 - 190.41,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,100.27 - 147.04,174.00 - 1556.31,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
2024,1,139066.00 - 2983911.75,1042.00 - 3196.96,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,6866211.91 - 12252934.51,77612.73 - 83044.27,238.40 - 299.03,14557.61 - 17978.37,308.75 - 408.61,117492.23 - 145961.06,28.31 - 47.28
2024,1,2983911.75 - 6866211.91,22924.60 - 32321.75,355.01 - 407.69,3135.72 - 5235.35,148.16 - 218.69,16488.92 - 29385.43,3.87 - 12.51
2024,1,139066.00 - 2983911.75,8752.42 - 14844.51,100.27 - 147.04,1556.31 - 3135.72,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2024,1,139066.00 - 2983911.75,8752.42 - 14844.51,190.41 - 238.40,3135.72 - 5235.35,83.89 - 148.16,16488.92 - 29385.43,3.87 - 12.51
2024,1,139066.00 - 2983911.75,5377.91 - 8752.42,100.27 - 147.04,1556.31 - 3135.72,1.00 - 38.21,8292.53 - 16488.92,0.00 - 3.87
2024,1,139066.00 - 2983911.75,14844.51 - 22924.60,238.40 - 299.03,1556.31 - 3135.72,148.16 - 218.69,16488.92 - 29385.43,0.00 - 3.87
2024,1,139066.00 - 2983911.75,8752.42 - 14844.51,147.04 - 190.41,1556.31 - 3135.72,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,56.82 - 100.27,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
2024,1,139066.00 - 2983911.75,8752.42 - 14844.51,190.41 - 238.40,1556.31 - 3135.72,38.21 - 83.89,8292.53 - 16488.92,3.87 - 12.51
2024,1,139066.00 - 2983911.75,3196.96 - 5377.91,7.00 - 56.82,174.00 - 1556.31,1.00 - 38.21,1144.00 - 8292.53,0.00 - 3.87
